CourseID,CourseName,Category,Recommendation
CSCI-B392,COMPETITIVE PROGRAMMING,Cyber Security Analyst,0
CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,Cyber Security Analyst,0
CSCI-H343,DATA STRUCTURES  HONORS,Cyber Security Analyst,0
ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,Cyber Security Analyst,0
ILS-Z571,MATERIALS FOR YOUTH,Cyber Security Analyst,0
