From Previous Course ID,To Current Course ID,Count
INFO-I520,INFO-I533,10
INFO-I520,INFO-I535,3
INFO-I520,CSCI-B505,3
INFO-I520,STAT-S681,1
INFO-I520,STAT-S520,4
INFO-I520,INFO-I525,2
INFO-I520,DSCI-D590,2
INFO-I520,ENGR-E511,2
INFO-I520,ENGR-E516,2
INFO-I520,CSCI-B561,2
INFO-I520,INFO-I526,1
INFO-I520,ENGR-E503,1
INFO-I520,INFO-I699,3
INFO-I520,INFO-I890,1
INFO-I520,INFO-G901,1
INFO-I520,INFO-I502,2
INFO-I520,INFO-I709,3
INFO-I520,INFO-I790,2
INFO-I520,INFO-I798,1
INFO-I520,INFO-I561,1
INFO-I520,INFO-I609,1
INFO-I520,ILS-Z516,2
INFO-I520,ILS-Z639,1
INFO-I520,ENGR-E583,3
INFO-I520,CSCI-P538,1
INFO-I520,INFO-I591,1
INFO-I520,CSCI-B541,1
INFO-I520,INFO-I521,1
INFO-I520,CSCI-P556,1
INFO-I520,ENGR-E599,1
INFO-I520,INFO-I606,2
INFO-I520,DSCI-D699,1
INFO-I520,ILS-Z534,2
INFO-I520,CSCI-B551,1
INFO-I520,CSCI-B657,2
INFO-I520,ENGR-E533,2
INFO-I520,CSCI-B555,1
INFO-I520,CSCI-B565,1
INFO-I520,CSCI-A538,1
INFO-I520,CSCI-A593,1
INFO-I520,CSCI-B547,1
ILS-Z501,ILS-Z515,13
ILS-Z501,ILS-Z516,16
ILS-Z501,ILS-Z503,18
ILS-Z501,ILS-Z525,8
ILS-Z501,ILS-Z550,114
ILS-Z501,ILS-Z603,24
ILS-Z501,ILS-Z502,7
ILS-Z501,ILS-Z505,8
ILS-Z501,ILS-Z652,28
ILS-Z501,ILS-Z556,7
ILS-Z501,ILS-Z604,54
ILS-Z501,ILS-Z605,77
ILS-Z501,ILS-Z634,33
ILS-Z501,ILS-Z572,15
ILS-Z501,ILS-Z532,19
ILS-Z501,ILS-Z571,10
ILS-Z501,ILS-Z640,6
ILS-Z501,ILS-Z672,4
ILS-Z501,ILS-Z580,6
ILS-Z501,ILS-Z511,32
ILS-Z501,ILS-Z583,19
ILS-Z501,ILS-Z584,19
ILS-Z501,ILS-Z586,26
ILS-Z501,ILS-Z680,16
ILS-Z501,ILS-Z519,3
ILS-Z501,ILS-Z657,24
ILS-Z501,ILS-Z683,26
ILS-Z501,ILS-Z585,4
ILS-Z501,ILS-Z646,1
ILS-Z501,ILS-Z544,5
ILS-Z501,ILS-Z601,15
ILS-Z501,ILS-Z504,34
ILS-Z501,ILS-Z655,14
ILS-Z501,ILS-Z510,6
ILS-Z501,ILS-Z764,1
ILS-Z501,ILS-Z534,10
ILS-Z501,ILS-Z701,1
ILS-Z501,ILS-Z581,14
ILS-Z501,ILS-Z573,19
ILS-Z501,ILS-Z517,7
ILS-Z501,ILS-Z602,8
ILS-Z501,ILS-Z685,6
ILS-Z501,ILS-Z513,10
ILS-Z501,ILS-Z681,26
ILS-Z501,ILS-Z684,10
ILS-Z501,ILS-Z543,4
ILS-Z501,ILS-Z639,6
ILS-Z501,ILS-Z542,3
ILS-Z501,ENGR-E584,1
ILS-Z501,ILS-Z636,5
ILS-Z501,ILS-Z690,1
ILS-Z501,ILS-Z555,3
ILS-Z501,ILS-Z641,1
ILS-Z501,ILS-Z642,2
ILS-Z501,ILS-Z651,7
ILS-Z501,ILS-Z656,2
ILS-Z501,CSCI-B504,1
ILS-Z501,CSCI-P538,2
ILS-Z501,CSCI-Y790,1
ILS-Z501,CSCI-B555,1
ILS-Z501,STAT-S520,1
ILS-Z501,CSCI-B649,1
ILS-Z501,CSCI-B544,1
ILS-Z501,CSCI-P565,1
ILS-Z501,CSCI-P573,1
ILS-Z501,CSCI-B547,1
ILS-Z501,ILS-Z514,2
ILS-Z501,INFO-I542,1
ILS-Z501,INFO-I543,1
ILS-Z501,INFO-I561,1
ILS-Z501,INFO-I798,1
ILS-Z501,INFO-I544,1
ILS-Z501,INFO-I549,1
ILS-Z501,INFO-I694,1
ILS-Z501,INFO-I588,1
ILS-Z511,ILS-Z515,21
ILS-Z511,ILS-Z516,20
ILS-Z511,ILS-Z503,4
ILS-Z511,ILS-Z525,9
ILS-Z511,ILS-Z550,21
