From SkillID,To SkillID,Count
Skill_1,Skill_2,9
Skill_1,Skill_3,12
Skill_1,Skill_4,3
Skill_1,Skill_6,3
Skill_1,Skill_8,5
Skill_1,Skill_22,3
Skill_1,Skill_25,9
Skill_1,Skill_7,4
Skill_1,Skill_20,3
Skill_1,Skill_56,5
Skill_1,Skill_10,5
Skill_1,Skill_14,3
Skill_1,Skill_51,3
Skill_2,Skill_1,9
Skill_2,Skill_3,11
Skill_2,Skill_4,3
Skill_2,Skill_6,3
Skill_2,Skill_16,6
Skill_2,Skill_17,3
Skill_2,Skill_18,3
Skill_2,Skill_9,3
Skill_2,Skill_11,4
Skill_2,Skill_8,4
Skill_2,Skill_22,3
Skill_2,Skill_25,10
Skill_2,Skill_56,3
Skill_2,Skill_10,3
Skill_2,Skill_102,3
Skill_3,Skill_1,12
Skill_3,Skill_2,11
Skill_3,Skill_4,3
Skill_3,Skill_5,8
Skill_3,Skill_6,6
Skill_3,Skill_14,8
Skill_3,Skill_12,4
Skill_3,Skill_8,6
Skill_3,Skill_22,5
Skill_3,Skill_20,5
Skill_3,Skill_25,14
Skill_3,Skill_56,12
Skill_3,Skill_59,3
Skill_3,Skill_35,6
Skill_3,Skill_73,3
Skill_3,Skill_7,5
Skill_3,Skill_10,6
Skill_3,Skill_2233,4
Skill_4,Skill_1,3
Skill_4,Skill_2,3
Skill_4,Skill_3,3
Skill_4,Skill_6,18
Skill_4,Skill_261,175
Skill_4,Skill_111,74
Skill_4,Skill_47,5
Skill_4,Skill_85,47
Skill_4,Skill_355,5
Skill_4,Skill_205,15
Skill_4,Skill_90,12
Skill_4,Skill_356,3
Skill_4,Skill_475,3
Skill_4,Skill_476,5
Skill_4,Skill_570,6
Skill_4,Skill_220,8
Skill_4,Skill_51,10
Skill_4,Skill_49,25
Skill_4,Skill_189,11
Skill_4,Skill_200,4
Skill_4,Skill_32,9
Skill_4,Skill_504,9
Skill_4,Skill_94,14
Skill_4,Skill_19,38
Skill_4,Skill_244,5
Skill_4,Skill_263,17
Skill_4,Skill_35,11
Skill_4,Skill_658,9
Skill_4,Skill_275,3
Skill_4,Skill_272,4
Skill_4,Skill_984,3
Skill_4,Skill_742,5
Skill_4,Skill_933,3
Skill_4,Skill_1180,3
Skill_4,Skill_68,5
Skill_4,Skill_494,3
Skill_4,Skill_64,9
Skill_4,Skill_270,4
Skill_4,Skill_249,4
Skill_4,Skill_677,5
Skill_4,Skill_1138,9
Skill_4,Skill_1449,8
Skill_4,Skill_582,4
Skill_4,Skill_65,19
Skill_4,Skill_282,4
Skill_4,Skill_280,15
Skill_4,Skill_34,34
Skill_4,Skill_482,5
Skill_4,Skill_446,4
Skill_4,Skill_690,5
Skill_4,Skill_226,8
Skill_4,Skill_1387,3
Skill_4,Skill_957,7
Skill_4,Skill_155,4
Skill_4,Skill_193,4
Skill_4,Skill_635,4
Skill_4,Skill_62,10
Skill_4,Skill_37,10
Skill_4,Skill_134,5
Skill_4,Skill_750,4
Skill_4,Skill_344,3
Skill_4,Skill_968,3
Skill_4,Skill_335,6
Skill_4,Skill_110,3
Skill_4,Skill_975,4
Skill_4,Skill_305,4
Skill_4,Skill_114,4
Skill_4,Skill_417,5
Skill_4,Skill_314,5
Skill_4,Skill_123,4
Skill_4,Skill_256,5
Skill_4,Skill_125,4
Skill_4,Skill_172,3
Skill_4,Skill_190,17
Skill_4,Skill_209,6
Skill_4,Skill_2956,3
Skill_4,Skill_221,5
Skill_4,Skill_522,4
Skill_4,Skill_225,3
Skill_4,Skill_66,4
Skill_4,Skill_46,6
Skill_4,Skill_466,3
Skill_4,Skill_445,5
Skill_4,Skill_489,5
Skill_4,Skill_108,3
Skill_4,Skill_63,3
Skill_4,Skill_1518,3
Skill_4,Skill_488,5
Skill_4,Skill_860,3
Skill_4,Skill_389,3
Skill_4,Skill_211,11
Skill_4,Skill_206,5
Skill_4,Skill_484,3
Skill_4,Skill_58,3
Skill_4,Skill_1302,5
Skill_4,Skill_681,4
Skill_4,Skill_3175,3
Skill_4,Skill_626,3
Skill_5,Skill_3,8
Skill_5,Skill_6,3
Skill_5,Skill_13,3
Skill_5,Skill_14,8
Skill_5,Skill_12,4
Skill_5,Skill_20,8
Skill_5,Skill_25,3
Skill_5,Skill_56,6
Skill_5,Skill_59,5
Skill_5,Skill_30,7
Skill_5,Skill_8,3
Skill_5,Skill_10,3
Skill_5,Skill_158,3
Skill_5,Skill_29,4
Skill_6,Skill_1,3
Skill_6,Skill_2,3
Skill_6,Skill_3,6
Skill_6,Skill_4,18
Skill_6,Skill_5,3
Skill_6,Skill_8,7
Skill_6,Skill_7,8
Skill_6,Skill_25,10
Skill_6,Skill_37,64
Skill_6,Skill_13,3
Skill_6,Skill_51,231
Skill_6,Skill_53,49
Skill_6,Skill_64,120
Skill_6,Skill_65,93
Skill_6,Skill_66,26
Skill_6,Skill_67,3
Skill_6,Skill_10,5
Skill_6,Skill_68,45
Skill_6,Skill_14,4
Skill_6,Skill_119,3
Skill_6,Skill_114,15
Skill_6,Skill_90,21
Skill_6,Skill_20,9
Skill_6,Skill_149,4
Skill_6,Skill_34,96
Skill_6,Skill_113,11
Skill_6,Skill_127,3
Skill_6,Skill_124,3
Skill_6,Skill_193,31
Skill_6,Skill_201,5
Skill_6,Skill_220,115
Skill_6,Skill_46,41
Skill_6,Skill_244,56
Skill_6,Skill_49,118
Skill_6,Skill_263,42
Skill_6,Skill_277,22
Skill_6,Skill_315,6
Skill_6,Skill_35,21
Skill_6,Skill_205,5
Skill_6,Skill_434,4
Skill_6,Skill_435,11
Skill_6,Skill_251,5
Skill_6,Skill_465,5
Skill_6,Skill_334,3
Skill_6,Skill_577,3
Skill_6,Skill_705,11
Skill_6,Skill_62,24
Skill_6,Skill_707,5
Skill_6,Skill_527,3
Skill_6,Skill_545,19
Skill_6,Skill_364,15
Skill_6,Skill_85,19
Skill_6,Skill_48,22
Skill_6,Skill_95,6
Skill_6,Skill_134,35
Skill_6,Skill_635,9
Skill_6,Skill_506,6
Skill_6,Skill_63,27
Skill_6,Skill_47,42
Skill_6,Skill_769,6
Skill_6,Skill_217,21
Skill_6,Skill_19,108
Skill_6,Skill_439,12
Skill_6,Skill_805,3
Skill_6,Skill_393,4
Skill_6,Skill_94,24
Skill_6,Skill_274,9
Skill_6,Skill_548,7
Skill_6,Skill_768,4
Skill_6,Skill_426,5
Skill_6,Skill_529,7
Skill_6,Skill_906,3
Skill_6,Skill_329,13
Skill_6,Skill_190,36
Skill_6,Skill_344,8
Skill_6,Skill_375,5
Skill_6,Skill_933,9
Skill_6,Skill_742,11
Skill_6,Skill_941,8
Skill_6,Skill_743,15
Skill_6,Skill_331,9
Skill_6,Skill_964,3
Skill_6,Skill_283,13
Skill_6,Skill_995,3
Skill_6,Skill_112,14
Skill_6,Skill_957,7
Skill_6,Skill_658,16
Skill_6,Skill_750,7
Skill_6,Skill_275,5
Skill_6,Skill_272,21
Skill_6,Skill_984,3
Skill_6,Skill_136,17
Skill_6,Skill_900,13
Skill_6,Skill_716,7
