From QuestionID,To KnowledgeID
Ques_122,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_123,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_124,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_125,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_126,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_127,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_128,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_129,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_130,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_131,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_132,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_133,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_134,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_135,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_136,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_137,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_138,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_139,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_140,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_141,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_142,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_143,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_144,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_145,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_146,Know_80
Ques_160,Know_1
Ques_160,Know_1
Ques_160,Know_1
Ques_160,Know_1
Ques_160,Know_1
Ques_160,Know_1
Ques_161,Know_1
Ques_161,Know_1
Ques_161,Know_1
Ques_161,Know_1
Ques_161,Know_1
Ques_161,Know_1
Ques_162,Know_1
Ques_162,Know_1
Ques_162,Know_1
Ques_162,Know_1
Ques_162,Know_1
Ques_162,Know_1
Ques_163,Know_1
Ques_163,Know_1
Ques_163,Know_1
Ques_163,Know_1
Ques_163,Know_1
Ques_163,Know_1
Ques_164,Know_1
Ques_164,Know_1
Ques_164,Know_1
Ques_164,Know_1
Ques_164,Know_1
Ques_164,Know_1
Ques_165,Know_1
Ques_165,Know_1
Ques_165,Know_1
Ques_165,Know_1
Ques_165,Know_1
Ques_165,Know_1
Ques_166,Know_1
Ques_166,Know_1
Ques_166,Know_1
Ques_166,Know_1
Ques_166,Know_1
Ques_166,Know_1
Ques_167,Know_1
Ques_167,Know_1
Ques_167,Know_1
Ques_167,Know_1
Ques_167,Know_1
Ques_167,Know_1
Ques_168,Know_1
Ques_168,Know_1
Ques_168,Know_1
Ques_168,Know_1
Ques_168,Know_1
Ques_168,Know_1
Ques_169,Know_1
Ques_169,Know_1
Ques_169,Know_1
Ques_169,Know_1
Ques_169,Know_1
Ques_169,Know_1
Ques_170,Know_1
Ques_170,Know_1
Ques_170,Know_1
Ques_170,Know_1
Ques_170,Know_1
Ques_170,Know_1
Ques_171,Know_1
Ques_171,Know_1
Ques_171,Know_1
Ques_171,Know_1
Ques_171,Know_1
Ques_171,Know_1
Ques_172,Know_1
Ques_172,Know_1
Ques_172,Know_1
Ques_172,Know_1
Ques_172,Know_1
Ques_172,Know_1
Ques_173,Know_1
Ques_173,Know_1
Ques_173,Know_1
Ques_173,Know_1
Ques_173,Know_1
Ques_173,Know_1
Ques_174,Know_1
Ques_174,Know_1
Ques_174,Know_1
Ques_174,Know_1
Ques_174,Know_1
Ques_174,Know_1
Ques_175,Know_1
Ques_175,Know_1
Ques_175,Know_1
Ques_175,Know_1
Ques_175,Know_1
Ques_175,Know_1
Ques_176,Know_1
Ques_176,Know_1
Ques_176,Know_1
Ques_176,Know_1
Ques_176,Know_1
Ques_176,Know_1
Ques_177,Know_1
Ques_177,Know_1
Ques_177,Know_1
Ques_177,Know_1
Ques_177,Know_1
Ques_177,Know_1
Ques_178,Know_1
Ques_178,Know_1
Ques_178,Know_1
Ques_178,Know_1
Ques_178,Know_1
Ques_178,Know_1
Ques_179,Know_1
Ques_179,Know_1
Ques_179,Know_1
Ques_179,Know_1
Ques_179,Know_1
Ques_179,Know_1
Ques_180,Know_1
Ques_180,Know_1
Ques_180,Know_1
Ques_180,Know_1
Ques_180,Know_1
Ques_180,Know_1
Ques_181,Know_104
Ques_182,Know_104
Ques_183,Know_104
Ques_184,Know_104
Ques_185,Know_104
Ques_186,Know_104
Ques_187,Know_104
Ques_188,Know_104
Ques_189,Know_104
Ques_190,Know_14
Ques_191,Know_14
Ques_192,Know_14
Ques_193,Know_14
Ques_194,Know_14
Ques_195,Know_14
Ques_196,Know_14
Ques_197,Know_14
Ques_198,Know_14
Ques_199,Know_14
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_200,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_201,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_202,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_203,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_204,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_205,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_206,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_207,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_208,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_209,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_210,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_211,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_212,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_213,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_214,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_215,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_216,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_217,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_218,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_219,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_220,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_221,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_222,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_223,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_224,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_225,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_226,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_227,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_228,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_229,Know_82
Ques_230,Know_226
Ques_230,Know_226
Ques_230,Know_226
Ques_231,Know_226
Ques_231,Know_226
Ques_231,Know_226
Ques_232,Know_226
Ques_232,Know_226
Ques_232,Know_226
Ques_233,Know_226
Ques_233,Know_226
Ques_233,Know_226
Ques_234,Know_226
Ques_234,Know_226
Ques_234,Know_226
Ques_235,Know_226
Ques_235,Know_226
Ques_235,Know_226
Ques_236,Know_226
Ques_236,Know_226
Ques_237,Know_226
Ques_237,Know_226
Ques_238,Know_226
Ques_238,Know_226
Ques_239,Know_226
Ques_239,Know_226
Ques_240,Know_226
Ques_240,Know_226
Ques_241,Know_226
Ques_241,Know_226
Ques_242,Know_226
Ques_242,Know_226
Ques_243,Know_226
Ques_243,Know_226
Ques_244,Know_226
Ques_244,Know_226
Ques_245,Know_226
Ques_245,Know_226
Ques_246,Know_310
Ques_247,Know_310
Ques_248,Know_310
Ques_249,Know_310
Ques_250,Know_310
Ques_251,Know_310
Ques_252,Know_310
Ques_253,Know_310
Ques_263,Know_95
Ques_263,Know_95
Ques_263,Know_95
Ques_264,Know_95
Ques_264,Know_95
Ques_264,Know_95
Ques_265,Know_95
Ques_265,Know_95
Ques_265,Know_95
Ques_266,Know_95
Ques_266,Know_95
Ques_266,Know_95
Ques_267,Know_95
Ques_267,Know_95
Ques_267,Know_95
Ques_268,Know_95
Ques_268,Know_95
Ques_268,Know_95
Ques_269,Know_95
Ques_269,Know_95
Ques_269,Know_95
Ques_270,Know_95
Ques_270,Know_95
Ques_270,Know_95
Ques_271,Know_95
Ques_271,Know_95
Ques_271,Know_95
Ques_272,Know_95
Ques_272,Know_95
Ques_272,Know_95
Ques_273,Know_90
Ques_273,Know_90
Ques_273,Know_90
Ques_274,Know_90
Ques_274,Know_90
Ques_274,Know_90
Ques_275,Know_90
Ques_275,Know_90
Ques_275,Know_90
Ques_276,Know_90
Ques_276,Know_90
Ques_276,Know_90
Ques_277,Know_90
Ques_277,Know_90
Ques_277,Know_90
Ques_278,Know_1
Ques_278,Know_1
Ques_278,Know_1
