CourseID,Course Name
ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS
ENGR-E327,AUTOMATED FABRICATION MACHINES
ENGR-E332,INTRODUCTION TO MODELING AND SIMULATION
ENGR-E340,INTRODUCTION TO COMPUTATIONAL BIOENGINEERING
ENGR-E34,INTRODUCTION TO COMPUTATIONAL BIOENGINEERING
ENGR-E390,UNDERGRADUATE INDEPENDENT STUDY
ENGR-E434,BIG DATA APPLICATIONS
ENGR-E435,IMAGE PROCESSING
ENGR-E441,SIMULATING CANCER AS AN INTELLIGENT SYSTEM
ENGR-E451,SIMULATING NANOSCALE SYSTEMS
ENGR-E483,INFORMATION VISUALIZATION
ENGR-E484,SCIENTIFIC VISUALIZATION
ENGR-E490,ENGINEERING CAPSTONE DESIGN I
ENGR-E491,ENGINEERING CAPSTONE DESIGN II
ENGR-E500,INTRODUCTION TO THE INTELLIGENT SYSTEMS ENGINEERING PROGRAM
ENGR-E501,INTRODUCTION TO COMPUTER ENGINEERING
ENGR-E502,INTRODUCTION TO CYBER PHYSICAL SYSTEMS
ENGR-E503,INTRODUCTION TO INTELLIGENT SYSTEMS
ENGR-E504,INTRODUCTION TO BIOENGINEERING
ENGR-E505,INTRODUCTION TO NANOENGINEERING
ENGR-E506,INTRODUCTION TO NEUROENGINEERING GRADUATE PROGRAM IN INTELLIGENT SYSTEMS ENGINEERING
ENGR-E510,ENGINEERING DISTRIBUTED SYSTEMS
ENGR-E511,MACHINE LEARNING FOR SIGNAL PROCESSING
ENGR-E51,MACHINE LEARNING FOR SIGNAL PROCESSING
ENGR-E513,ENGINEERING COMPILERS
ENGR-E514,EMBEDDED SYSTEMS
ENGR-E516,ENGINEERING CLOUD COMPUTING
ENGR-E517,HIGH PERFORMANCE COMPUTING
ENGR-E518,ENGINEERING NETWORKS
ENGR-E519,ENGINEERING OPERATING SYSTEMS
ENGR-E533,DEEP LEARNING SYSTEMS
ENGR-E534,BIG DATA APPLICATIONS
ENGR-E535,IMAGE PROCESSING FOR MEDICAL APPLICATIONS
ENGR-E537,RAPID PROTOTYPING FOR ENGINEERS
ENGR-E541,SIMULATING CANCER AS AN INTELLIGENT SYSTEM
ENGR-E551,SIMULATING NANOSCALE SYSTEMS
ENGR-E583,INFORMATION VISUALIZATION
ENGR-E584,SCIENTIFIC VISUALIZATION
ENGR-E616,ADVANCED CLOUD COMPUTING
ENGR-E617,ADVANCED CLOUD COMPUTING
ENGR-E687,GRADUATE INDEPENDENT STUDIES IN INTELLIGENT SYSTEMS ENGINEERING
ILS-Z115,FROM JAMES BOND TO ZOMBIE APOCALYPSE AND NSA LEAKS: EVALUATING INFORMATION AND INTELLIGENCE
ILS-Z221,INTELLIGENCE ANALYTICS
ILS-Z331,STRATEGIC INTELLIGENCE
ILS-Z503,REPRESENTATION AND ORGANIZATION
ILS-Z504,CATALOGING
ILS-Z511,DATABASE DESIGN
ILS-Z513,ORGANIZATIONAL INFORMATICS
ILS-Z515,INFORMATION ARCHITECTURE
ILS-Z517,WEB PROGRAMMING
ILS-Z519,INFORMATION ANALYTICS
ILS-Z532,INFO ARCHITECTURE FOR THE WEB
ILS-Z534,SEARCH
ILS-Z551,INFORMATION INSTITUTIONS AND THEIR MANAGEMENT
ILS-Z556,SYSTEMS ANALYSIS & DESIGN
ILS-Z557,SYSTEMS ANALYSIS & DESIGN
ILS-Z571,MATERIALS FOR YOUTH
ILS-Z572,YOUTH SERVICES
ILS-Z573,EDUCATION OF INFORMATION USERS
ILS-Z581,ARCHIVES AND RECORDS MANAGEMENT
ILS-Z586,DIGITAL CURATION
ILS-Z636,DATA SEMANTICS
ILS-Z639,SOCIAL MEDIA MINING
ILS-Z642,CONTENT ANALYSIS FOR THE WEB
ILS-Z645,THE SOCIAL AND ORGANIZATIONAL INFORMATICS OF BIG DATA
ILS-Z646,THE SOCIAL AND ORGANIZATIONAL INFORMATICS OF BIG DATA
ILS-Z657,DIGITAL HUMANITIES
ILS-Z690,CAPSTONE IN INFORMATION ARCHITECTURE
ILS-Z764,SEM IN INFORMATION SCIENCE
INFO-I101,INTRODUCTION TO INFORMATICS
INFO-I123,DATA FLUENCY
INFO-I130,INTRODUCTION TO CYBERSECURITY
INFO-I201,MATHEMATICAL FOUNDATIONS OF INFORMATICS
INFO-I202,SOCIAL INFORMATICS
INFO-I210,INFORMATION INFRASTRUCTURE I
INFO-I222,THE INFORMATION SOCIETY
INFO-I230,ANALYTICAL FOUNDATIONS OF SECURITY
INFO-I231,INTRODUCTION TO THE MATHEMATICS OF CYBERSECURITY
INFO-I300,HUMANCOMPUTER INTERACTION DESIGN AND PROGRAMMING
INFO-I301,PRESENTATIONS FOR IT PROFESSIONALS
INFO-I303,ORGANIZATIONAL INFORMATICS
INFO-I310,MULTIMEDIA ARTS AND TECHNOLOGY
INFO-I311,APPLICATION DEVELOPMENT
INFO-I330,LEGAL AND SOCIAL INFORMATICS OF SECURITY
INFO-I341,PROTOTYPING WITH ARDUINO TOOLS
INFO-I342,MOBILE PROGRAMMING I
INFO-I360,WEB DESIGN
INFO-I368,INTRODUCTION TO NETWORK SCIENCE
INFO-I369,PERFORMANCE ANALYTICS
INFO-I370,METHODS FOR HCC
INFO-I407,INTRODUCTION TO HEALTH INFORMATICS
INFO-I422,DATA VISUALIZATION
INFO-I423,BIG DATA APPLS & ANALYTICS
INFO-I426,INFORMATICS IN DISASTERS AND EMERGENCY RESPONSE
INFO-I427,SEARCH INFORMATICS
INFO-I430,SECURITY FOR NETWORKED SYSTEMS
INFO-I433,SYSTEMS AND PROTOCOL SECURITY AND INFORMATION ASSURANCE
INFO-I436,TECHNOLOGY INNOVATION
INFO-I437,DESIGN STRATEGY
INFO-I438,TECHNOLOGY ENTREPRENEURSHIP
INFO-I441,INTERACTION DESIGN PRACTICE
INFO-I453,COMPUTER AND INFORMATION ETHICS
INFO-I469,COLLECTIVE INTELLIGENCE
INFO-I494,DESIGN AND IMPLEMENTATION OF AN INFORMATION SYSTEM PART I
INFO-I495,DESIGN AND DEVELOPMENT OF AN INFORMATION SYSTEM
INFO-I500,FUNDAMENTAL COMPUTER CONCEPTS FOR INFORMATICS
INFO-I501,INTRODUCTION TO INFORMATICS
INFO-I507,INTRODUCTION TO HEALTH INFORMATICS
INFO-I516,INFORMATICS IN DISASTERS AND EMERGENCY RESPONSE
INFO-I519,INTRODUCTION TO BIOINFORMATICS
INFO-I520,SECURITY FOR NETWORKED SYSTEMS
INFO-I521,MALWARE EPIDEMIC: THREAT AND DEFENSE
INFO-I526,APPLIED MACHINE LEARNING
INFO-I527,MOBILE AND PERVASIVE DESIGN
INFO-I529,MACHINE LEARNING BIOINFORMATCS
INFO-I530,FIELD DEPLOYMENTS
INFO-I533,SYSTEMS AND PROTOCOL SECURITY AND INFORMATION ASSURANCE
INFO-I535,MANAGEMENT  ACCESS  AND USE OF BIG AND COMPLEX DATA
INFO-I537,LEGAL AND SOCIAL INFORMATICS OF SECURITY
INFO-I538,INTRODUCTION TO CRYPTOGRAPHY
INFO-I541,INTERACTION DESIGN PRACTICE
INFO-I542,FOUNDATIONS OF HCI
INFO-I543,INTERACTION DESIGN METHODS
INFO-I544,EXPERIENCE DESIGN
INFO-I549,ADVANCED PROTOTYPING
INFO-I561,MEANING AND FORM IN HCI
INFO-I566,TECHNOLOGY INNOVATION
INFO-I567,DESIGN STRATEGY
INFO-I568,TECHNOLOGY ENTREPRENEURSHIP
INFO-I604,HUMAN COMPUTER INTERACTION DESIGN THEORY
INFO-I606,NETWORK SCIENCE
INFO-I617,INFORMATICS IN LIFE SCIENCES AND CHEMISTRY
INFO-T100,TOPICS IN INFORMATICS TECHNOLOGY
INFO-Y101,TECHNOLOGY LEADERSHIP AND INNOVATION
INFO-Y102,TECHNOLOGY LEADERSHIP AND INNOVATION  II
STAT-S100,STATISTICAL LITERACY
STAT-S211,STATISTICS FOR JOURNALISTS
STAT-S301,APPLIED STATISTICAL METHODS FOR BUSINESS
STAT-S303,APPLIED STATISTICAL METHODS FOR THE LIFE SCIENCES
STAT-S320,INTRODUCTION TO STATISTICS
STAT-S350,INTRODUCTION TO STATISTICAL INFERENCE
STAT-S352,DATA MODELING AND INFERENCE
